GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AM56,it.polimi.ingsw.Server,Errors,33,201,4,0,6,29,5,3,3,3
AM56,it.polimi.ingsw.Server.Model,School,21,142,0,12,4,25,2,15,2,9
AM56,it.polimi.ingsw.Server.Model,Character,5,31,1,1,1,12,1,4,0,4
AM56,it.polimi.ingsw.Server.Model,ActionPhase,0,27,0,0,0,5,0,1,0,1
AM56,it.polimi.ingsw.Server.Model,Postman,0,12,0,0,0,5,0,3,0,3
AM56,it.polimi.ingsw.Server.Model,Apothecary,2,63,1,5,1,18,1,8,0,6
AM56,it.polimi.ingsw.Server.Model,Assistant,0,138,0,4,0,25,0,9,0,7
AM56,it.polimi.ingsw.Server.Model,Jester,122,22,20,0,24,5,12,1,2,1
AM56,it.polimi.ingsw.Server.Model,Phase,0,15,0,0,0,3,0,1,0,1
AM56,it.polimi.ingsw.Server.Model,Professors,0,107,0,16,0,29,0,11,0,3
AM56,it.polimi.ingsw.Server.Model,Player,20,528,3,37,6,96,4,34,1,16
AM56,it.polimi.ingsw.Server.Model,AdvancedGame,8,131,6,18,3,27,6,9,0,3
AM56,it.polimi.ingsw.Server.Model,GameBoard,226,411,37,55,43,95,28,34,2,14
AM56,it.polimi.ingsw.Server.Model,Minotaur,3,9,0,0,2,3,2,1,2,1
AM56,it.polimi.ingsw.Server.Model,Knight,3,9,0,0,2,3,2,1,2,1
AM56,it.polimi.ingsw.Server.Model,Herald,4,52,2,2,2,13,2,3,0,3
AM56,it.polimi.ingsw.Server.Model,Game,9,449,12,92,3,99,12,46,0,6
AM56,it.polimi.ingsw.Server.Model,Bard,50,31,6,6,10,6,5,4,1,2
AM56,it.polimi.ingsw.Server.Model,Thief,59,9,12,0,16,3,8,1,2,1
AM56,it.polimi.ingsw.Server.Model,Cloud,0,50,0,2,0,14,0,5,0,4
AM56,it.polimi.ingsw.Server.Model,Islands,58,370,9,39,14,74,10,24,1,9
AM56,it.polimi.ingsw.Server.Model,CharacterFactory,4,108,1,16,2,23,2,15,1,2
AM56,it.polimi.ingsw.Server.Model,RoundHandler,13,585,6,65,6,129,6,46,0,15
AM56,it.polimi.ingsw.Server.Model,AdvancedPlayer,12,49,2,4,3,13,2,5,0,4
AM56,it.polimi.ingsw.Server.Model,Drunkard,5,9,0,0,3,3,3,1,3,1
AM56,it.polimi.ingsw.Server.Model,Island,7,71,0,2,2,22,1,11,1,10
AM56,it.polimi.ingsw.Server.Model,Bag,10,85,0,8,2,22,1,6,1,2
AM56,it.polimi.ingsw.Server.Model,Cook,36,9,6,0,11,3,6,1,3,1
AM56,it.polimi.ingsw.Server.Model,Color,0,76,0,4,0,15,0,7,0,5
AM56,it.polimi.ingsw.Server.Model,GameInitializer,1,127,0,8,1,36,1,16,1,12
AM56,it.polimi.ingsw.Server.Model,Princess,105,12,12,0,21,3,8,1,2,1
AM56,it.polimi.ingsw.Server.Model,Cleric,106,19,12,0,21,5,8,1,2,1
AM56,it.polimi.ingsw,App,199,0,24,0,44,0,14,0,2,0
